,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,mean
"c: 1.2; k: 0.0,0.1; x",0.6666666666666666,0.75,0.4444444444444444,0.5384615384615384,0.8888888888888888,0.6,0.8333333333333334,0.7142857142857143,0.9,0.6666666666666666,0.8,0.5,0.7692307692307693,0.6666666666666666,0.8333333333333334,1.0,0.8181818181818182,0.8333333333333334,0.8571428571428571,0.7333333333333333,0.8181818181818182,1.0,0.8,0.7058823529411765,0.75,0.625,0.75,0.7777777777777778,0.7142857142857143,0.8,0.75,0.7692307692307693,0.5555555555555556,0.7,0.5714285714285714,0.8,0.9090909090909091,0.5,0.8181818181818182,0.6666666666666666,0.8333333333333334,0.6,0.8,0.8571428571428571,0.6,0.75,0.4,0.7777777777777778,0.75,0.875,0.8333333333333334,0.4,0.8666666666666667,1.0,0.75,1.0,0.8888888888888888,1.0,0.8,0.8,0.75,0.7692307692307693,0.0,0.8571428571428571,0.875,0.8,0.7692307692307693,0.6923076923076923,1.0,0.5714285714285714,0.875,0.75,0.75,0.8,0.7777777777777778,0.8461538461538461,0.8181818181818182,0.8571428571428571,0.9090909090909091,0.75,0.7549385255267607
"c: 1.2; k: 0.0,0.1; y",0.8333333333333334,0.875,0.6666666666666666,0.6923076923076923,0.7777777777777778,0.6,0.8333333333333334,0.42857142857142855,0.6,0.6666666666666666,0.6,0.75,0.7692307692307693,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.6363636363636364,0.16666666666666666,0.7142857142857143,0.6666666666666666,0.9090909090909091,0.625,0.7333333333333333,0.7058823529411765,0.875,0.875,0.75,0.6666666666666666,0.5714285714285714,0.8,0.75,0.7692307692307693,0.5555555555555556,0.7,0.7142857142857143,0.6,0.9090909090909091,0.625,0.9090909090909091,0.8333333333333334,0.5,0.8,0.8,0.7142857142857143,0.7,0.5,0.8,0.6666666666666666,0.75,0.625,0.8333333333333334,0.6,0.7333333333333333,0.5714285714285714,0.75,0.7272727272727273,0.8888888888888888,0.8571428571428571,0.7,0.6,0.25,0.8461538461538461,0.5,0.8571428571428571,0.625,0.6,0.6153846153846154,0.6153846153846154,0.75,0.2857142857142857,0.75,0.5,0.75,0.6,0.7777777777777778,0.7692307692307693,0.7272727272727273,0.7142857142857143,0.7272727272727273,0.75,0.6951895592152945
"c: 1.2; k: 0.0,0.1; z",0.8333333333333334,0.875,0.6666666666666666,0.6923076923076923,0.8888888888888888,0.4,1.0,0.5714285714285714,0.6,0.6666666666666666,0.7,0.5,0.7692307692307693,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.8181818181818182,0.6666666666666666,0.7857142857142857,0.8,0.7272727272727273,0.75,0.8666666666666667,0.7058823529411765,0.75,0.75,0.8333333333333334,0.7777777777777778,0.5714285714285714,0.4,0.625,0.7692307692307693,0.5555555555555556,0.8,1.0,0.7,0.8181818181818182,0.875,0.9090909090909091,0.8333333333333334,0.5,0.2,0.9,0.5714285714285714,0.7,0.75,0.8,0.6666666666666666,0.75,0.5,0.6666666666666666,0.2,0.8666666666666667,0.8571428571428571,0.75,0.9090909090909091,1.0,0.7142857142857143,0.7,0.8,1.0,0.9230769230769231,0.5,0.8571428571428571,0.75,0.8,0.6923076923076923,0.6923076923076923,0.625,0.5714285714285714,0.75,0.75,0.8333333333333334,0.9,0.6666666666666666,0.8461538461538461,0.7272727272727273,1.0,0.8181818181818182,0.75,0.7334165752548103
"c: 1.2; k: 0.0,0.1; xy",0.8333333333333334,0.875,0.5555555555555556,0.6153846153846154,0.6666666666666666,0.4,0.5,0.5714285714285714,0.6,0.5555555555555556,0.7,0.75,0.6923076923076923,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6363636363636364,0.3333333333333333,0.7857142857142857,0.6,0.7272727272727273,0.875,0.7333333333333333,0.7647058823529411,0.875,0.75,0.75,0.6666666666666666,0.7142857142857143,0.8,0.625,0.7692307692307693,0.4444444444444444,0.5,0.8571428571428571,0.8,0.9090909090909091,0.625,0.8181818181818182,0.8333333333333334,0.5,0.8,0.8,0.7142857142857143,0.7,0.5,0.8,0.6666666666666666,0.75,0.75,0.8333333333333334,0.8,0.8,0.5714285714285714,0.75,0.9090909090909091,0.7777777777777778,0.8571428571428571,0.7,0.8,0.0,0.8461538461538461,0.0,0.7142857142857143,0.75,0.6,0.6153846153846154,0.5384615384615384,0.875,0.42857142857142855,0.625,0.5,0.6666666666666666,0.5,0.6666666666666666,0.7692307692307693,0.7272727272727273,0.7142857142857143,0.5454545454545454,0.75,0.6785894803725684
"c: 1.2; k: 0.0,0.1; xz",0.8333333333333334,0.875,0.4444444444444444,0.6153846153846154,0.8888888888888888,0.6,0.8333333333333334,0.7142857142857143,0.8,0.6666666666666666,0.8,0.5,0.7692307692307693,0.6666666666666666,0.8333333333333334,1.0,0.8181818181818182,0.8333333333333334,0.8571428571428571,0.7333333333333333,0.8181818181818182,1.0,0.8,0.7058823529411765,0.625,0.75,0.75,0.7777777777777778,0.7142857142857143,0.8,0.75,0.7692307692307693,0.5555555555555556,0.7,0.7142857142857143,0.9,0.9090909090909091,0.625,0.8181818181818182,0.8333333333333334,0.8333333333333334,0.2,0.8,0.8571428571428571,0.4,0.5,0.4,0.7777777777777778,0.75,0.625,0.8333333333333334,0.4,0.8666666666666667,1.0,0.75,1.0,0.8888888888888888,0.7142857142857143,0.7,0.8,0.75,0.7692307692307693,0.0,0.8571428571428571,0.75,0.8,0.7692307692307693,0.6923076923076923,0.75,0.7142857142857143,0.875,0.75,0.75,0.9,0.7777777777777778,0.7692307692307693,0.6363636363636364,1.0,0.8181818181818182,0.75,0.7421693155700506
"c: 1.2; k: 0.0,0.1; yz",0.8333333333333334,0.875,0.6666666666666666,0.6923076923076923,0.7777777777777778,0.6,0.6666666666666666,0.5714285714285714,0.6,0.6666666666666666,0.7,0.75,0.7692307692307693,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.7272727272727273,0.3333333333333333,0.7142857142857143,0.7333333333333333,0.7272727272727273,0.875,0.7333333333333333,0.7647058823529411,0.75,0.75,0.75,0.6666666666666666,0.7142857142857143,0.8,0.625,0.7692307692307693,0.5555555555555556,0.6,0.7142857142857143,0.7,0.9090909090909091,0.625,0.8181818181818182,0.8333333333333334,0.5,0.8,0.8,0.7142857142857143,0.7,0.5,0.8,0.5555555555555556,0.75,0.625,0.8333333333333334,0.6,0.7333333333333333,0.5714285714285714,0.75,0.9090909090909091,0.8888888888888888,0.8571428571428571,0.7,0.6,0.25,0.8461538461538461,0.5,0.8571428571428571,0.75,0.6,0.6153846153846154,0.6153846153846154,0.75,0.2857142857142857,0.75,0.5,0.75,0.5,0.6666666666666666,0.8461538461538461,0.7272727272727273,0.7142857142857143,0.6363636363636364,0.625,0.6958145122851005
"c: 1.2; k: 0.0,0.1; xyz",0.8333333333333334,0.875,0.5555555555555556,0.6153846153846154,0.6666666666666666,0.4,0.5,0.5714285714285714,0.6,0.5555555555555556,0.7,0.75,0.6923076923076923,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6363636363636364,0.3333333333333333,0.7857142857142857,0.6,0.7272727272727273,0.875,0.7333333333333333,0.7647058823529411,0.875,0.75,0.75,0.6666666666666666,0.7142857142857143,0.8,0.625,0.7692307692307693,0.4444444444444444,0.5,0.8571428571428571,0.8,0.9090909090909091,0.625,0.8181818181818182,0.8333333333333334,0.5,0.8,0.8,0.7142857142857143,0.7,0.5,0.8,0.6666666666666666,0.75,0.75,0.8333333333333334,0.8,0.8,0.5714285714285714,0.75,0.9090909090909091,0.7777777777777778,0.8571428571428571,0.7,0.8,0.0,0.8461538461538461,0.0,0.7142857142857143,0.75,0.6,0.6153846153846154,0.5384615384615384,0.875,0.42857142857142855,0.625,0.5,0.6666666666666666,0.5,0.6666666666666666,0.7692307692307693,0.7272727272727273,0.7142857142857143,0.5454545454545454,0.75,0.6785894803725684
"c: 1.2; k: 0.1,0.2; x",0.6666666666666666,0.75,0.4444444444444444,0.5384615384615384,0.8888888888888888,0.6,0.8333333333333334,0.7142857142857143,0.9,0.6666666666666666,0.8,0.5,0.7692307692307693,0.6666666666666666,0.8333333333333334,1.0,0.8181818181818182,0.8333333333333334,0.8571428571428571,0.7333333333333333,0.8181818181818182,1.0,0.8,0.7058823529411765,0.75,0.625,0.75,0.7777777777777778,0.7142857142857143,0.8,0.75,0.7692307692307693,0.5555555555555556,0.7,0.5714285714285714,0.8,0.9090909090909091,0.5,0.8181818181818182,0.6666666666666666,0.8333333333333334,0.6,0.8,0.8571428571428571,0.6,0.75,0.4,0.7777777777777778,0.75,0.875,0.8333333333333334,0.4,0.8666666666666667,1.0,0.75,1.0,0.8888888888888888,1.0,0.8,0.8,0.75,0.7692307692307693,0.0,0.8571428571428571,0.875,0.8,0.7692307692307693,0.6923076923076923,1.0,0.5714285714285714,0.875,0.75,0.75,0.8,0.7777777777777778,0.8461538461538461,0.8181818181818182,0.8571428571428571,0.9090909090909091,0.75,0.7549385255267607
"c: 1.2; k: 0.1,0.2; y",0.8333333333333334,0.875,0.6666666666666666,0.6923076923076923,0.6666666666666666,0.6,0.8333333333333334,0.42857142857142855,0.6,0.6666666666666666,0.6,0.75,0.7692307692307693,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.6363636363636364,0.16666666666666666,0.7857142857142857,0.6666666666666666,0.9090909090909091,0.5,0.7333333333333333,0.7058823529411765,0.875,0.875,0.75,0.6666666666666666,0.5714285714285714,0.6,0.75,0.7692307692307693,0.5555555555555556,0.7,0.7142857142857143,0.6,0.9090909090909091,0.625,0.7272727272727273,0.8333333333333334,0.5,0.8,0.8,0.7142857142857143,0.7,0.5,0.8,0.6666666666666666,0.75,0.625,0.8333333333333334,0.6,0.6666666666666666,0.5714285714285714,0.75,0.7272727272727273,0.8888888888888888,1.0,0.7,0.6,0.25,0.8461538461538461,0.5,0.7142857142857143,0.625,0.6,0.6153846153846154,0.6923076923076923,0.875,0.2857142857142857,0.75,0.5,0.75,0.6,0.7777777777777778,0.7692307692307693,0.7272727272727273,0.7142857142857143,0.6363636363636364,0.75,0.688912641688377
"c: 1.2; k: 0.1,0.2; z",0.8333333333333334,0.875,0.6666666666666666,0.6923076923076923,0.8888888888888888,0.4,1.0,0.5714285714285714,0.6,0.6666666666666666,0.7,0.5,0.7692307692307693,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.8181818181818182,0.6666666666666666,0.8571428571428571,0.8,0.7272727272727273,0.75,0.8666666666666667,0.7058823529411765,0.75,0.75,0.8333333333333334,0.6666666666666666,0.5714285714285714,0.4,0.625,0.7692307692307693,0.5555555555555556,0.7,1.0,0.7,0.8181818181818182,0.875,0.9090909090909091,0.8333333333333334,0.5,0.2,0.9,0.5714285714285714,0.7,0.75,0.4,0.6666666666666666,0.75,0.5,0.6666666666666666,0.2,0.8666666666666667,0.8571428571428571,0.75,0.9090909090909091,1.0,0.5714285714285714,0.7,0.8,1.0,0.9230769230769231,0.5,0.8571428571428571,0.75,0.8,0.6923076923076923,0.6923076923076923,0.625,0.5714285714285714,0.75,0.75,0.8333333333333334,0.9,0.6666666666666666,0.8461538461538461,0.7272727272727273,1.0,0.8181818181818182,0.75,0.7248848292230643
