input,target,start_coords.x,start_coords.y,start_coords.z,egg_cup.already_seen,fork_small.already_seen,plate_small.already_seen,plate.already_seen,glass.already_seen,food.already_seen,bowl.already_seen,cutting_board.already_seen,spoon_small.already_seen,napkin.already_seen,silverware.already_seen,placemat.already_seen,tray.already_seen,cup.already_seen,bottle.already_seen,spoon.already_seen,knife.already_seen,wineglass.already_seen,fork.already_seen,coordinates_plate.x,coordinates_plate.y,coordinates_plate.z,plate.containment,plate.food_k,plate.strong_k,plate.mid_k,coordinates_plate_small.x,coordinates_plate_small.y,coordinates_plate_small.z,plate_small.containment,plate_small.food_k,plate_small.strong_k,plate_small.mid_k,coordinates_cup.x,coordinates_cup.y,coordinates_cup.z,cup.containment,cup.food_k,cup.strong_k,cup.mid_k,coordinates_glass.x,coordinates_glass.y,coordinates_glass.z,glass.containment,glass.food_k,glass.strong_k,glass.mid_k,coordinates_knife.x,coordinates_knife.y,coordinates_knife.z,knife.containment,knife.food_k,knife.strong_k,knife.mid_k,coordinates_spoon_small.x,coordinates_spoon_small.y,coordinates_spoon_small.z,spoon_small.containment,spoon_small.food_k,spoon_small.strong_k,spoon_small.mid_k,coordinates_wineglass.x,coordinates_wineglass.y,coordinates_wineglass.z,wineglass.containment,wineglass.food_k,wineglass.strong_k,wineglass.mid_k,coordinates_fork.x,coordinates_fork.y,coordinates_fork.z,fork.containment,fork.food_k,fork.strong_k,fork.mid_k,coordinates_spoon.x,coordinates_spoon.y,coordinates_spoon.z,spoon.containment,spoon.food_k,spoon.strong_k,spoon.mid_k,coordinates_tray.x,coordinates_tray.y,coordinates_tray.z,tray.containment,tray.food_k,tray.strong_k,tray.mid_k,coordinates_fork_small.x,coordinates_fork_small.y,coordinates_fork_small.z,fork_small.containment,fork_small.food_k,fork_small.strong_k,fork_small.mid_k,coordinates_napkin.x,coordinates_napkin.y,coordinates_napkin.z,napkin.containment,napkin.food_k,napkin.strong_k,napkin.mid_k,coordinates_silverware.x,coordinates_silverware.y,coordinates_silverware.z,silverware.containment,silverware.food_k,silverware.strong_k,silverware.mid_k,coordinates_placemat.x,coordinates_placemat.y,coordinates_placemat.z,placemat.containment,placemat.food_k,placemat.strong_k,placemat.mid_k,coordinates_cutting_board.x,coordinates_cutting_board.y,coordinates_cutting_board.z,cutting_board.containment,cutting_board.food_k,cutting_board.strong_k,cutting_board.mid_k,coordinates_bowl.x,coordinates_bowl.y,coordinates_bowl.z,bowl.containment,bowl.food_k,bowl.strong_k,bowl.mid_k,coordinates_bottle.x,coordinates_bottle.y,coordinates_bottle.z,bottle.containment,bottle.food_k,bottle.strong_k,bottle.mid_k,coordinates_food.x,coordinates_food.y,coordinates_food.z,food.containment,food.food_k,food.strong_k,food.mid_k,coordinates_egg_cup.x,coordinates_egg_cup.y,coordinates_egg_cup.z,egg_cup.containment,egg_cup.food_k,egg_cup.strong_k,egg_cup.mid_k,container.containment,container.food_k,container.mid_k,container.strong_k,coordinates_container.x,coordinates_container.y,coordinates_container.z,container.already_seen,beverage.containment,beverage.food_k,beverage.mid_k,beverage.strong_k,coordinates_beverage.x,coordinates_beverage.y,coordinates_beverage.z,beverage.already_seen,utensil.containment,utensil.food_k,utensil.mid_k,utensil.strong_k,coordinates_utensil.x,coordinates_utensil.y,coordinates_utensil.z,utensil.already_seen,seasoning.containment,seasoning.food_k,seasoning.mid_k,seasoning.strong_k,coordinates_seasoning.x,coordinates_seasoning.y,coordinates_seasoning.z,seasoning.already_seen,cookware.containment,cookware.food_k,cookware.mid_k,cookware.strong_k,coordinates_cookware.x,coordinates_cookware.y,coordinates_cookware.z,cookware.already_seen
<start>,plate,-0.451354,-0.413918,0.156247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008034,0.957082,0.6890539999999999,0.0,0.0,0.0,1.0,-0.185,0.928,0.481035,0.0,0.0,0.0,1.0,-0.525007,0.923283,0.438,0.0,0.0,0.0,0.0,-0.595001,1.233,0.468999,0.0,0.0,0.0,0.0,-0.030993,0.7334229999999999,0.530651,0.0,0.0,0.0,0.0,-0.606068,0.743321,0.524829,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plate,plate_small,0.513,-0.531,0.74,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008034,0.957082,0.6890539999999999,0.0,0.0,0.0,1.0,-0.185,0.928,0.481035,0.0,0.0,0.0,1.0,-0.525007,0.923283,0.438,0.0,0.0,0.0,0.0,-0.595001,1.233,0.468999,0.0,0.0,0.0,0.0,-0.030993,0.7334229999999999,0.530651,0.0,0.0,0.0,0.0,-0.606068,0.743321,0.524829,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plate_small,cup,0.513,-0.531,0.74,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008034,0.957082,0.6890539999999999,0.0,0.0,0.0,1.0,-0.185,0.928,0.481035,0.0,0.0,0.0,1.0,-0.525007,0.923283,0.438,0.0,0.0,0.0,0.0,-0.595001,1.233,0.468999,0.0,0.0,0.0,0.0,-0.030993,0.7334229999999999,0.530651,0.0,0.0,0.0,0.0,-0.606068,0.743321,0.524829,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cup,glass,0.513,-0.531,0.74,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.008034,0.957082,0.6890539999999999,0.0,0.0,0.0,1.0,-0.185,0.928,0.481035,0.0,0.0,0.0,1.0,-0.525007,0.923283,0.438,0.0,0.0,0.0,0.0,-0.595001,1.233,0.468999,0.0,0.0,0.0,0.0,-0.030993,0.7334229999999999,0.530651,0.0,0.0,0.0,0.0,-0.606068,0.743321,0.524829,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glass,knife,0.513,-0.531,0.74,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.008034,0.957082,0.6890539999999999,0.0,0.0,0.0,1.0,-0.185,0.928,0.481035,0.0,0.0,0.0,1.0,-0.525007,0.923283,0.438,0.0,0.0,0.0,0.0,-0.595001,1.233,0.468999,0.0,0.0,0.0,0.0,-0.030993,0.7334229999999999,0.530651,0.0,0.0,0.0,0.0,-0.606068,0.743321,0.524829,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
knife,spoon_small,0.513,-0.531,0.74,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.008034,0.957082,0.6890539999999999,0.0,0.0,0.0,1.0,-0.185,0.928,0.481035,0.0,0.0,0.0,1.0,-0.525007,0.923283,0.438,0.0,0.0,0.0,0.0,-0.595001,1.233,0.468999,0.0,0.0,0.0,0.0,-0.030993,0.7334229999999999,0.530651,0.0,0.0,0.0,0.0,-0.606068,0.743321,0.524829,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<start>,cup,-0.451354,-0.413918,0.156247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008034,0.957082,0.6890539999999999,0.0,0.0,0.0,1.0,,,,,,,,-0.66,0.923281,0.438,0.0,0.0,0.0,0.0,-0.595001,1.233,0.468999,0.0,0.0,0.0,0.0,-0.030993,0.7334229999999999,0.530651,0.0,0.0,0.0,0.0,,,,,,,,-0.196022,1.35572,0.466005,0.0,0.0,0.0,0.0,-0.208026,0.7442439999999999,0.557671,0.0,0.0,0.0,0.0,0.071911,0.746328,0.519848,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cup,glass,0.513,-0.531,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.008034,0.957082,0.6890539999999999,0.0,0.0,0.0,1.0,,,,,,,,-0.66,0.923281,0.438,0.0,0.0,0.0,0.0,-0.595001,1.233,0.468999,0.0,0.0,0.0,0.0,-0.030993,0.7334229999999999,0.530651,0.0,0.0,0.0,0.0,,,,,,,,-0.196022,1.35572,0.466005,0.0,0.0,0.0,0.0,-0.208026,0.7442439999999999,0.557671,0.0,0.0,0.0,0.0,0.071911,0.746328,0.519848,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glass,wineglass,0.513,-0.531,0.74,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.008034,0.957082,0.6890539999999999,0.0,0.0,0.0,1.0,,,,,,,,-0.66,0.923281,0.438,0.0,0.0,0.0,0.0,-0.595001,1.233,0.468999,0.0,0.0,0.0,0.0,-0.030993,0.7334229999999999,0.530651,0.0,0.0,0.0,0.0,,,,,,,,-0.196022,1.35572,0.466005,0.0,0.0,0.0,0.0,-0.208026,0.7442439999999999,0.557671,0.0,0.0,0.0,0.0,0.071911,0.746328,0.519848,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wineglass,plate,0.513,-0.531,0.74,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.008034,0.957082,0.6890539999999999,0.0,0.0,0.0,1.0,,,,,,,,-0.66,0.923281,0.438,0.0,0.0,0.0,0.0,-0.595001,1.233,0.468999,0.0,0.0,0.0,0.0,-0.030993,0.7334229999999999,0.530651,0.0,0.0,0.0,0.0,,,,,,,,-0.196022,1.35572,0.466005,0.0,0.0,0.0,0.0,-0.208026,0.7442439999999999,0.557671,0.0,0.0,0.0,0.0,0.071911,0.746328,0.519848,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
